lottery_id,lottery_date,number1,number2,number3,number4,number5,number6,number7
503,2022/12/30,5,7,8,13,23,26,33
502,2022/12/23,1,2,12,17,21,22,33
501,2022/12/16,1,2,4,7,12,14,31
500,2022/12/9,17,18,24,30,31,32,35
499,2022/12/2,5,9,14,18,27,32,34
498,2022/11/25,6,8,12,20,21,24,29
497,2022/11/18,18,20,24,26,27,30,33
496,2022/11/11,5,8,15,18,25,27,36
495,2022/11/4,2,16,19,20,22,33,36
494,2022/10/28,7,9,12,22,28,29,32
493,2022/10/21,5,13,14,20,21,25,31
492,2022/10/14,7,10,12,15,23,31,37
491,2022/10/7,3,14,17,21,22,32,35
490,2022/9/30,12,14,18,21,23,29,37
489,2022/9/23,3,6,7,15,25,29,31
488,2022/9/16,3,13,16,18,19,20,35
487,2022/9/9,9,10,13,15,26,34,37
486,2022/9/2,8,13,15,23,24,31,25
485,2022/8/26,4,6,17,20,22,24,26
484,2022/8/19,1,4,6,9,13,22,31
483,2022/8/12,2,11,20,23,25,36,37
482,2022/8/5,2,5,14,15,17,19,36
481,2022/7/29,1,10,13,14,16,25,27
480,2022/7/22,10,13,19,21,26,30,36
479,2022/7/15,8,11,13,18,24,30,31
478,2022/7/8,6,8,11,13,16,20,32
477,2022/7/1,2,5,9,19,25,32,37
476,2022/6/24,4,7,9,15,22,24,31
475,2022/6/17,1,2,22,24,26,31,37
474,2022/6/10,3,17,19,21,24,32,34
473,2022/6/3,6,11,21,24,28,33,37
472,2022/5/27,5,7,8,32,33,34,36
471,2022/5/20,3,5,7,8,11,19,34
470,2022/5/13,2,3,9,16,27,32,36
469,2022/5/6,1,6,8,13,16,30,33
468,2022/4/29,3,12,15,16,25,29,37
467,2022/4/22,7,8,11,13,14,26,30
466,2022/4/15,5,6,8,14,15,25,29
465,2022/4/8,1,4,5,13,27,31,35
464,2022/4/1,7,8,13,17,30,32,36
463,2022/3/25,3,7,13,16,19,24,30
462,2022/3/18,7,11,24,27,29,34,35
461,2022/3/11,2,13,19,22,32,35,37
460,2022/3/4,5,6,9,23,27,28,30
459,2022/2/25,2,4,7,8,10,20,29
458,2022/2/18,7,11,12,14,19,21,33
457,2022/2/11,7,14,19,27,31,35,36
456,2022/2/4,9,15,17,18,22,25,31
455,2022/1/28,1,5,8,15,18,26,36
454,2022/1/21,8,17,21,26,27,29,31
453,2022/1/14,2,8,10,21,24,26,35
452,2022/1/7,5,17,20,21,31,34,35